Unnamed: 0,Keyword,Score,Acc.,Bias
15,bamboo forest,4.047,0.2,S
10,bamboo,3.062,0.2,S
7,forest,2.281,0.3333333333333333,S
9,woods,2.094,0.6363636363636364,S
12,rainforest,1.984,0.0,S
14,trees,1.875,0.3333333333333333,S
5,garden,1.656,0.125,S
4,tree,1.641,0.55,S
18,wild,0.25,0.8461538461538461,S
