Unnamed: 0,Keyword,Score,Acc.,Bias
4,beach,2.578,0.7272727272727273,S
8,seagull,2.469,0.6,S
5,water,1.25,0.6829268292682927,S
12,lake,1.047,0.7777777777777778,S
16,rocks,1.031,0.7692307692307693,S
10,sky,0.4688,0.7333333333333333,S
14,city,0.2812,0.5714285714285714,S
13,dog,0.2188,0.3333333333333333,S
